API-function: torch-tensors
is_tensor | is_storage | 1.0
is_tensor | is_complex | 0.0
is_tensor | is_conj | 0.0
is_tensor | is_floating_point | 0.0
is_tensor | is_nonzero | 0.0
is_tensor | set_default_dtype | 0.0
is_tensor | set_default_tensor_type | 0.0
is_tensor | numel | 0.0
is_tensor | set_printoptions | 0.0
is_tensor | set_flush_denormal | 0.0
is_storage | is_complex | 0.0
is_storage | is_conj | 0.0
is_storage | is_floating_point | 0.0
is_storage | is_nonzero | 0.0
is_storage | set_default_dtype | 0.0
is_storage | set_default_tensor_type | 0.0
is_storage | numel | 0.0
is_storage | set_printoptions | 0.0
is_storage | set_flush_denormal | 0.0
is_complex | is_conj | 1.0
is_complex | is_floating_point | 1.0
is_complex | is_nonzero | 1.0
is_complex | set_default_dtype | 0.0
is_complex | set_default_tensor_type | 0.0
is_complex | numel | 1.0
is_complex | set_printoptions | 0.0
is_complex | set_flush_denormal | 0.0
is_conj | is_floating_point | 1.0
is_conj | is_nonzero | 1.0
is_conj | set_default_dtype | 0.0
is_conj | set_default_tensor_type | 0.0
is_conj | numel | 1.0
is_conj | set_printoptions | 0.0
is_conj | set_flush_denormal | 0.0
is_floating_point | is_nonzero | 1.0
is_floating_point | set_default_dtype | 0.0
is_floating_point | set_default_tensor_type | 0.0
is_floating_point | numel | 1.0
is_floating_point | set_printoptions | 0.0
is_floating_point | set_flush_denormal | 0.0
is_nonzero | set_default_dtype | 0.0
is_nonzero | set_default_tensor_type | 0.0
is_nonzero | numel | 1.0
is_nonzero | set_printoptions | 0.0
is_nonzero | set_flush_denormal | 0.0
set_default_dtype | set_default_tensor_type | 0.0
set_default_dtype | numel | 0.0
set_default_dtype | set_printoptions | 0.0
set_default_dtype | set_flush_denormal | 0.0
get_default_dtype | set_default_tensor_type | 0.0
get_default_dtype | numel | 0.0
get_default_dtype | set_printoptions | 0.0
get_default_dtype | set_flush_denormal | 0.0
set_default_tensor_type | numel | 0.0
set_default_tensor_type | set_printoptions | 0.0
set_default_tensor_type | set_flush_denormal | 0.0
numel | set_printoptions | 0.0
numel | set_flush_denormal | 0.0
set_printoptions | set_flush_denormal | 0.0

API-function: torch-creation-ops
tensor | sparse_coo_tensor | 0.5
tensor | asarray | 0.6
tensor | as_tensor | 1.0
tensor | as_strided | 0.0
tensor | from_dlpack | 0.0
tensor | frombuffer | 0.0
tensor | zeros | 0.5
tensor | zeros_like | 0.5
tensor | ones | 0.5
tensor | ones_like | 0.5
tensor | arange | 0.375
tensor | range | 0.375
tensor | linspace | 0.375
tensor | logspace | 0.3333333333333333
tensor | eye | 0.42857142857142855
tensor | empty | 0.5
tensor | empty_like | 0.5
tensor | empty_strided | 0.5714285714285714
tensor | full | 0.42857142857142855
tensor | full_like | 0.42857142857142855
tensor | quantize_per_tensor | 0.0
tensor | quantize_per_channel | 0.0
tensor | dequantize | 0.0
tensor | complex | 0.0
tensor | polar | 0.0
tensor | heaviside | 0.0
sparse_coo_tensor | asarray | 0.4
sparse_coo_tensor | as_tensor | 0.6666666666666666
sparse_coo_tensor | as_strided | 0.0
sparse_coo_tensor | from_dlpack | 0.0
sparse_coo_tensor | frombuffer | 0.2
sparse_coo_tensor | zeros | 0.3333333333333333
sparse_coo_tensor | zeros_like | 0.3333333333333333
sparse_coo_tensor | ones | 0.3333333333333333
sparse_coo_tensor | ones_like | 0.3333333333333333
sparse_coo_tensor | arange | 0.375
sparse_coo_tensor | range | 0.375
sparse_coo_tensor | linspace | 0.375
sparse_coo_tensor | logspace | 0.3333333333333333
sparse_coo_tensor | eye | 0.42857142857142855
sparse_coo_tensor | empty | 0.25
sparse_coo_tensor | empty_like | 0.3333333333333333
sparse_coo_tensor | empty_strided | 0.2857142857142857
sparse_coo_tensor | full | 0.42857142857142855
sparse_coo_tensor | full_like | 0.2857142857142857
sparse_coo_tensor | quantize_per_tensor | 0.0
sparse_coo_tensor | quantize_per_channel | 0.0
sparse_coo_tensor | dequantize | 0.0
sparse_coo_tensor | complex | 0.0
sparse_coo_tensor | polar | 0.0
sparse_coo_tensor | heaviside | 0.0
asarray | as_tensor | 0.6666666666666666
asarray | as_strided | 0.0
asarray | from_dlpack | 0.0
asarray | frombuffer | 0.2
asarray | zeros | 0.5
asarray | zeros_like | 0.5
asarray | ones | 0.5
asarray | ones_like | 0.5
asarray | arange | 0.375
asarray | range | 0.375
asarray | linspace | 0.375
asarray | logspace | 0.3333333333333333
asarray | eye | 0.42857142857142855
asarray | empty | 0.375
asarray | empty_like | 0.5
asarray | empty_strided | 0.42857142857142855
asarray | full | 0.42857142857142855
asarray | full_like | 0.42857142857142855
asarray | quantize_per_tensor | 0.0
asarray | quantize_per_channel | 0.0
asarray | dequantize | 0.0
asarray | complex | 0.0
asarray | polar | 0.0
asarray | heaviside | 0.0
as_tensor | as_strided | 0.0
as_tensor | from_dlpack | 0.0
as_tensor | frombuffer | 0.0
as_tensor | zeros | 0.3333333333333333
as_tensor | zeros_like | 0.3333333333333333
as_tensor | ones | 0.3333333333333333
as_tensor | ones_like | 0.3333333333333333
as_tensor | arange | 0.25
as_tensor | range | 0.25
as_tensor | linspace | 0.25
as_tensor | logspace | 0.2222222222222222
as_tensor | eye | 0.2857142857142857
as_tensor | empty | 0.25
as_tensor | empty_like | 0.3333333333333333
as_tensor | empty_strided | 0.2857142857142857
as_tensor | full | 0.2857142857142857
as_tensor | full_like | 0.2857142857142857
as_tensor | quantize_per_tensor | 0.0
as_tensor | quantize_per_channel | 0.0
as_tensor | dequantize | 0.0
as_tensor | complex | 0.0
as_tensor | polar | 0.0
as_tensor | heaviside | 0.0
as_strided | from_dlpack | 0.0
as_strided | frombuffer | 0.0
as_strided | zeros | 0.0
as_strided | zeros_like | 0.16666666666666666
as_strided | ones | 0.0
as_strided | ones_like | 0.16666666666666666
as_strided | arange | 0.0
as_strided | range | 0.0
as_strided | linspace | 0.0
as_strided | logspace | 0.0
as_strided | eye | 0.0
as_strided | empty | 0.0
as_strided | empty_like | 0.16666666666666666
as_strided | empty_strided | 0.0
as_strided | full | 0.0
as_strided | full_like | 0.14285714285714285
as_strided | quantize_per_tensor | 0.2
as_strided | quantize_per_channel | 0.16666666666666666
as_strided | dequantize | 0.0
as_strided | complex | 0.0
as_strided | polar | 0.0
as_strided | heaviside | 0.3333333333333333
from_numpy | from_dlpack | 0.0
from_numpy | frombuffer | 0.0
from_numpy | zeros | 0.0
from_numpy | zeros_like | 0.0
from_numpy | ones | 0.0
from_numpy | ones_like | 0.0
from_numpy | arange | 0.0
from_numpy | range | 0.0
from_numpy | linspace | 0.0
from_numpy | logspace | 0.0
from_numpy | eye | 0.0
from_numpy | empty | 0.0
from_numpy | empty_like | 0.0
from_numpy | empty_strided | 0.0
from_numpy | full | 0.0
from_numpy | full_like | 0.0
from_numpy | quantize_per_tensor | 0.0
from_numpy | quantize_per_channel | 0.0
from_numpy | dequantize | 0.0
from_numpy | complex | 0.0
from_numpy | polar | 0.0
from_numpy | heaviside | 0.0
from_dlpack | frombuffer | 0.0
from_dlpack | zeros | 0.0
from_dlpack | zeros_like | 0.0
from_dlpack | ones | 0.0
from_dlpack | ones_like | 0.0
from_dlpack | arange | 0.0
from_dlpack | range | 0.0
from_dlpack | linspace | 0.0
from_dlpack | logspace | 0.0
from_dlpack | eye | 0.0
from_dlpack | empty | 0.0
from_dlpack | empty_like | 0.0
from_dlpack | empty_strided | 0.0
from_dlpack | full | 0.0
from_dlpack | full_like | 0.0
from_dlpack | quantize_per_tensor | 0.0
from_dlpack | quantize_per_channel | 0.0
from_dlpack | dequantize | 0.0
from_dlpack | complex | 0.0
from_dlpack | polar | 0.0
from_dlpack | heaviside | 0.0
frombuffer | zeros | 0.16666666666666666
frombuffer | zeros_like | 0.16666666666666666
frombuffer | ones | 0.16666666666666666
frombuffer | ones_like | 0.16666666666666666
frombuffer | arange | 0.125
frombuffer | range | 0.125
frombuffer | linspace | 0.125
frombuffer | logspace | 0.1111111111111111
frombuffer | eye | 0.14285714285714285
frombuffer | empty | 0.125
frombuffer | empty_like | 0.16666666666666666
frombuffer | empty_strided | 0.14285714285714285
frombuffer | full | 0.14285714285714285
frombuffer | full_like | 0.14285714285714285
frombuffer | quantize_per_tensor | 0.0
frombuffer | quantize_per_channel | 0.0
frombuffer | dequantize | 0.0
frombuffer | complex | 0.0
frombuffer | polar | 0.0
frombuffer | heaviside | 0.0
zeros | zeros_like | 0.6666666666666666
zeros | ones | 1.0
zeros | ones_like | 0.6666666666666666
zeros | arange | 0.625
zeros | range | 0.625
zeros | linspace | 0.625
zeros | logspace | 0.5555555555555556
zeros | eye | 0.7142857142857143
zeros | empty | 0.75
zeros | empty_like | 0.6666666666666666
zeros | empty_strided | 0.5714285714285714
zeros | full | 0.8571428571428571
zeros | full_like | 0.5714285714285714
zeros | quantize_per_tensor | 0.0
zeros | quantize_per_channel | 0.0
zeros | dequantize | 0.0
zeros | complex | 0.0
zeros | polar | 0.0
zeros | heaviside | 0.0
zeros_like | ones | 0.6666666666666666
zeros_like | ones_like | 1.0
zeros_like | arange | 0.5
zeros_like | range | 0.5
zeros_like | linspace | 0.5
zeros_like | logspace | 0.4444444444444444
zeros_like | eye | 0.5714285714285714
zeros_like | empty | 0.625
zeros_like | empty_like | 1.0
zeros_like | empty_strided | 0.5714285714285714
zeros_like | full | 0.5714285714285714
zeros_like | full_like | 0.8571428571428571
zeros_like | quantize_per_tensor | 0.2
zeros_like | quantize_per_channel | 0.16666666666666666
zeros_like | dequantize | 0.0
zeros_like | complex | 0.0
zeros_like | polar | 0.0
zeros_like | heaviside | 0.3333333333333333
ones | ones_like | 0.6666666666666666
ones | arange | 0.625
ones | range | 0.625
ones | linspace | 0.625
ones | logspace | 0.5555555555555556
ones | eye | 0.7142857142857143
ones | empty | 0.75
ones | empty_like | 0.6666666666666666
ones | empty_strided | 0.5714285714285714
ones | full | 0.8571428571428571
ones | full_like | 0.5714285714285714
ones | quantize_per_tensor | 0.0
ones | quantize_per_channel | 0.0
ones | dequantize | 0.0
ones | complex | 0.0
ones | polar | 0.0
ones | heaviside | 0.0
ones_like | arange | 0.5
ones_like | range | 0.5
ones_like | linspace | 0.5
ones_like | logspace | 0.4444444444444444
ones_like | eye | 0.5714285714285714
ones_like | empty | 0.625
ones_like | empty_like | 1.0
ones_like | empty_strided | 0.5714285714285714
ones_like | full | 0.5714285714285714
ones_like | full_like | 0.8571428571428571
ones_like | quantize_per_tensor | 0.2
ones_like | quantize_per_channel | 0.16666666666666666
ones_like | dequantize | 0.0
ones_like | complex | 0.0
ones_like | polar | 0.0
ones_like | heaviside | 0.3333333333333333
arange | range | 0.625
arange | linspace | 0.625
arange | logspace | 0.5555555555555556
arange | eye | 0.7142857142857143
arange | empty | 0.625
arange | empty_like | 0.6666666666666666
arange | empty_strided | 0.5714285714285714
arange | full | 0.7142857142857143
arange | full_like | 0.5714285714285714
arange | quantize_per_tensor | 0.0
arange | quantize_per_channel | 0.0
arange | dequantize | 0.0
arange | complex | 0.0
arange | polar | 0.0
arange | heaviside | 0.3333333333333333
range | linspace | 0.875
range | logspace | 0.7777777777777778
range | eye | 0.7142857142857143
range | empty | 0.625
range | empty_like | 0.6666666666666666
range | empty_strided | 0.5714285714285714
range | full | 0.7142857142857143
range | full_like | 0.5714285714285714
range | quantize_per_tensor | 0.0
range | quantize_per_channel | 0.0
range | dequantize | 0.0
range | complex | 0.0
range | polar | 0.0
range | heaviside | 0.3333333333333333
linspace | logspace | 0.8888888888888888
linspace | eye | 0.7142857142857143
linspace | empty | 0.625
linspace | empty_like | 0.6666666666666666
linspace | empty_strided | 0.5714285714285714
linspace | full | 0.7142857142857143
linspace | full_like | 0.5714285714285714
linspace | quantize_per_tensor | 0.0
linspace | quantize_per_channel | 0.0
linspace | dequantize | 0.0
linspace | complex | 0.0
linspace | polar | 0.0
linspace | heaviside | 0.3333333333333333
logspace | eye | 0.7142857142857143
logspace | empty | 0.625
logspace | empty_like | 0.6666666666666666
logspace | empty_strided | 0.5714285714285714
logspace | full | 0.7142857142857143
logspace | full_like | 0.5714285714285714
logspace | quantize_per_tensor | 0.0
logspace | quantize_per_channel | 0.0
logspace | dequantize | 0.0
logspace | complex | 0.0
logspace | polar | 0.0
logspace | heaviside | 0.3333333333333333
eye | empty | 0.625
eye | empty_like | 0.6666666666666666
eye | empty_strided | 0.5714285714285714
eye | full | 0.7142857142857143
eye | full_like | 0.5714285714285714
eye | quantize_per_tensor | 0.0
eye | quantize_per_channel | 0.0
eye | dequantize | 0.0
eye | complex | 0.0
eye | polar | 0.0
eye | heaviside | 0.3333333333333333
empty | empty_like | 0.8333333333333334
empty | empty_strided | 0.7142857142857143
empty | full | 0.8571428571428571
empty | full_like | 0.7142857142857143
empty | quantize_per_tensor | 0.0
empty | quantize_per_channel | 0.0
empty | dequantize | 0.0
empty | complex | 0.0
empty | polar | 0.0
empty | heaviside | 0.0
empty_like | empty_strided | 0.5714285714285714
empty_like | full | 0.5714285714285714
empty_like | full_like | 0.8571428571428571
empty_like | quantize_per_tensor | 0.2
empty_like | quantize_per_channel | 0.16666666666666666
empty_like | dequantize | 0.0
empty_like | complex | 0.0
empty_like | polar | 0.0
empty_like | heaviside | 0.3333333333333333
empty_strided | full | 0.5714285714285714
empty_strided | full_like | 0.5714285714285714
empty_strided | quantize_per_tensor | 0.0
empty_strided | quantize_per_channel | 0.0
empty_strided | dequantize | 0.0
empty_strided | complex | 0.0
empty_strided | polar | 0.0
empty_strided | heaviside | 0.0
full | full_like | 0.5714285714285714
full | quantize_per_tensor | 0.0
full | quantize_per_channel | 0.0
full | dequantize | 0.0
full | complex | 0.0
full | polar | 0.0
full | heaviside | 0.3333333333333333
full_like | quantize_per_tensor | 0.2
full_like | quantize_per_channel | 0.16666666666666666
full_like | dequantize | 0.0
full_like | complex | 0.0
full_like | polar | 0.0
full_like | heaviside | 0.3333333333333333
quantize_per_tensor | quantize_per_channel | 0.3333333333333333
quantize_per_tensor | dequantize | 0.0
quantize_per_tensor | complex | 0.0
quantize_per_tensor | polar | 0.0
quantize_per_tensor | heaviside | 0.3333333333333333
quantize_per_channel | dequantize | 0.0
quantize_per_channel | complex | 0.0
quantize_per_channel | polar | 0.0
quantize_per_channel | heaviside | 0.3333333333333333
dequantize | complex | 0.0
dequantize | polar | 0.0
dequantize | heaviside | 0.0
complex | polar | 0.3333333333333333
complex | heaviside | 0.0
polar | heaviside | 0.0

API-function: torch-indexing-slicing-joining-mutating-ops
adjoint | argwhere | 0.0
adjoint | cat | 0.0
adjoint | conj | 0.0
adjoint | chunk | 0.0
adjoint | dsplit | 0.0
adjoint | column_stack | 0.0
adjoint | dstack | 0.0
adjoint | gather | 0.0
adjoint | hsplit | 0.0
adjoint | hstack | 0.0
adjoint | index_select | 0.0
adjoint | masked_select | 0.0
adjoint | movedim | 0.0
adjoint | narrow | 0.0
adjoint | nonzero | 0.0
adjoint | permute | 0.0
adjoint | reshape | 0.0
adjoint | select | 0.0
adjoint | diagonal_scatter | 0.0
adjoint | select_scatter | 0.0
adjoint | slice_scatter | 0.0
adjoint | split | 0.0
adjoint | squeeze | 0.0
adjoint | stack | 0.0
adjoint | t | 0.0
adjoint | take | 0.0
adjoint | take_along_dim | 0.0
adjoint | tensor_split | 0.0
adjoint | tile | 0.0
adjoint | transpose | 0.0
adjoint | unbind | 0.0
adjoint | unsqueeze | 0.0
adjoint | vsplit | 0.0
adjoint | vstack | 0.0
adjoint | where | 0.0
argwhere | cat | 0.0
argwhere | conj | 0.0
argwhere | chunk | 0.0
argwhere | dsplit | 0.0
argwhere | column_stack | 0.0
argwhere | dstack | 0.0
argwhere | gather | 0.0
argwhere | hsplit | 0.0
argwhere | hstack | 0.0
argwhere | index_select | 0.0
argwhere | masked_select | 0.0
argwhere | movedim | 0.0
argwhere | narrow | 0.0
argwhere | nonzero | 0.0
argwhere | permute | 0.0
argwhere | reshape | 0.0
argwhere | select | 0.0
argwhere | diagonal_scatter | 0.0
argwhere | select_scatter | 0.0
argwhere | slice_scatter | 0.0
argwhere | split | 0.0
argwhere | squeeze | 0.0
argwhere | stack | 0.0
argwhere | t | 0.0
argwhere | take | 0.0
argwhere | take_along_dim | 0.0
argwhere | tensor_split | 0.0
argwhere | tile | 0.0
argwhere | transpose | 0.0
argwhere | unbind | 0.0
argwhere | unsqueeze | 0.0
argwhere | vsplit | 0.0
argwhere | vstack | 0.0
argwhere | where | 0.0
cat | conj | 0.0
cat | chunk | 0.0
cat | dsplit | 0.0
cat | column_stack | 1.0
cat | dstack | 1.0
cat | gather | 0.2
cat | hsplit | 0.0
cat | hstack | 1.0
cat | index_select | 0.25
cat | masked_select | 0.3333333333333333
cat | movedim | 0.0
cat | narrow | 0.0
cat | nonzero | 0.0
cat | permute | 0.0
cat | reshape | 0.0
cat | select | 0.0
cat | diagonal_scatter | 0.0
cat | select_scatter | 0.0
cat | slice_scatter | 0.0
cat | split | 0.0
cat | squeeze | 0.5
cat | stack | 0.6666666666666666
cat | t | 0.0
cat | take | 0.0
cat | take_along_dim | 0.25
cat | tensor_split | 0.0
cat | tile | 0.0
cat | transpose | 0.0
cat | unbind | 0.0
cat | unsqueeze | 0.0
cat | vsplit | 0.0
cat | vstack | 1.0
cat | where | 0.0
concat | conj | 0.0
concat | chunk | 0.0
concat | dsplit | 0.0
concat | column_stack | 0.0
concat | dstack | 0.0
concat | gather | 0.0
concat | hsplit | 0.0
concat | hstack | 0.0
concat | index_select | 0.0
concat | masked_select | 0.0
concat | movedim | 0.0
concat | narrow | 0.0
concat | nonzero | 0.0
concat | permute | 0.0
concat | reshape | 0.0
concat | select | 0.0
concat | diagonal_scatter | 0.0
concat | select_scatter | 0.0
concat | slice_scatter | 0.0
concat | split | 0.0
concat | squeeze | 0.0
concat | stack | 0.0
concat | t | 0.0
concat | take | 0.0
concat | take_along_dim | 0.0
concat | tensor_split | 0.0
concat | tile | 0.0
concat | transpose | 0.0
concat | unbind | 0.0
concat | unsqueeze | 0.0
concat | vsplit | 0.0
concat | vstack | 0.0
concat | where | 0.0
concatenate | conj | 0.0
concatenate | chunk | 0.0
concatenate | dsplit | 0.0
concatenate | column_stack | 0.0
concatenate | dstack | 0.0
concatenate | gather | 0.0
concatenate | hsplit | 0.0
concatenate | hstack | 0.0
concatenate | index_select | 0.0
concatenate | masked_select | 0.0
concatenate | movedim | 0.0
concatenate | narrow | 0.0
concatenate | nonzero | 0.0
concatenate | permute | 0.0
concatenate | reshape | 0.0
concatenate | select | 0.0
concatenate | diagonal_scatter | 0.0
concatenate | select_scatter | 0.0
concatenate | slice_scatter | 0.0
concatenate | split | 0.0
concatenate | squeeze | 0.0
concatenate | stack | 0.0
concatenate | t | 0.0
concatenate | take | 0.0
concatenate | take_along_dim | 0.0
concatenate | tensor_split | 0.0
concatenate | tile | 0.0
concatenate | transpose | 0.0
concatenate | unbind | 0.0
concatenate | unsqueeze | 0.0
concatenate | vsplit | 0.0
concatenate | vstack | 0.0
concatenate | where | 0.0
conj | chunk | 0.3333333333333333
conj | dsplit | 0.5
conj | column_stack | 0.0
conj | dstack | 0.0
conj | gather | 0.2
conj | hsplit | 0.5
conj | hstack | 0.0
conj | index_select | 0.25
conj | masked_select | 0.3333333333333333
conj | movedim | 0.3333333333333333
conj | narrow | 0.25
conj | nonzero | 0.5
conj | permute | 0.5
conj | reshape | 0.5
conj | select | 0.3333333333333333
conj | diagonal_scatter | 0.2
conj | select_scatter | 0.25
conj | slice_scatter | 0.16666666666666666
conj | split | 0.0
conj | squeeze | 0.5
conj | stack | 0.0
conj | t | 1.0
conj | take | 0.5
conj | take_along_dim | 0.25
conj | tensor_split | 0.3333333333333333
conj | tile | 0.5
conj | transpose | 0.3333333333333333
conj | unbind | 0.5
conj | unsqueeze | 0.5
conj | vsplit | 0.5
conj | vstack | 0.0
conj | where | 0.0
chunk | dsplit | 0.5
chunk | column_stack | 0.0
chunk | dstack | 0.0
chunk | gather | 0.2
chunk | hsplit | 0.5
chunk | hstack | 0.0
chunk | index_select | 0.25
chunk | masked_select | 0.3333333333333333
chunk | movedim | 0.3333333333333333
chunk | narrow | 0.25
chunk | nonzero | 0.5
chunk | permute | 0.5
chunk | reshape | 0.5
chunk | select | 0.3333333333333333
chunk | diagonal_scatter | 0.2
chunk | select_scatter | 0.5
chunk | slice_scatter | 0.3333333333333333
chunk | split | 0.25
chunk | squeeze | 0.5
chunk | stack | 0.0
chunk | t | 1.0
chunk | take | 0.5
chunk | take_along_dim | 0.5
chunk | tensor_split | 0.3333333333333333
chunk | tile | 0.5
chunk | transpose | 0.3333333333333333
chunk | unbind | 1.0
chunk | unsqueeze | 1.0
