API-function: torch-tensors
is_tensor | Returns True if obj is a PyTorch tensor. | is_storage | Returns True if obj is a PyTorch storage object. | 0.6774818301200867
is_tensor | Returns True if obj is a PyTorch tensor. | is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | 0.5612950921058655
is_tensor | Returns True if obj is a PyTorch tensor. | is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | 0.5465867519378662
is_tensor | Returns True if obj is a PyTorch tensor. | numel | Returns the total number of elements in the input tensor. | 0.48986947536468506
is_tensor | Returns True if obj is a PyTorch tensor. | set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | 0.48336702585220337
is_tensor | Returns True if obj is a PyTorch tensor. | is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | 0.24654585123062134
is_tensor | Returns True if obj is a PyTorch tensor. | set_default_dtype | Sets the default floating point dtype to d. | 0.2462165206670761
is_tensor | Returns True if obj is a PyTorch tensor. | is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | 0.24553559720516205
is_tensor | Returns True if obj is a PyTorch tensor. | get_default_dtype | Get the current default floating point torch.dtype. | 0.1402616947889328
is_tensor | Returns True if obj is a PyTorch tensor. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.10308457165956497
is_tensor | Returns True if obj is a PyTorch tensor. | set_printoptions | Set options for printing. | 0.05505293607711792
is_storage | Returns True if obj is a PyTorch storage object. | is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | 0.3487967550754547
is_storage | Returns True if obj is a PyTorch storage object. | is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | 0.32411062717437744
is_storage | Returns True if obj is a PyTorch storage object. | is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | 0.32404643297195435
is_storage | Returns True if obj is a PyTorch storage object. | is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | 0.28215718269348145
is_storage | Returns True if obj is a PyTorch storage object. | set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | 0.23620426654815674
is_storage | Returns True if obj is a PyTorch storage object. | numel | Returns the total number of elements in the input tensor. | 0.23530703783035278
is_storage | Returns True if obj is a PyTorch storage object. | set_default_dtype | Sets the default floating point dtype to d. | 0.2050521969795227
is_storage | Returns True if obj is a PyTorch storage object. | get_default_dtype | Get the current default floating point torch.dtype. | 0.1638306826353073
is_storage | Returns True if obj is a PyTorch storage object. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.04887678474187851
is_storage | Returns True if obj is a PyTorch storage object. | set_printoptions | Set options for printing. | 0.037089843302965164
is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | 0.752483606338501
is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | 0.5097923874855042
is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | 0.4001528024673462
is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | numel | Returns the total number of elements in the input tensor. | 0.2773236036300659
is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | set_default_dtype | Sets the default floating point dtype to d. | 0.21190567314624786
is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | 0.18552741408348083
is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.11832968145608902
is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | get_default_dtype | Get the current default floating point torch.dtype. | 0.11600612103939056
is_complex | Returns True if the data type of input is a complex data type i.e., one of torch.complex64, and torch.complex128. | set_printoptions | Set options for printing. | 0.05162747949361801
is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | 0.6107150316238403
is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | numel | Returns the total number of elements in the input tensor. | 0.47536781430244446
is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | 0.3937375545501709
is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | 0.3573228418827057
is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | set_default_dtype | Sets the default floating point dtype to d. | 0.24185557663440704
is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | set_printoptions | Set options for printing. | 0.15677309036254883
is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.12112543731927872
is_conj | Returns True if the input is a conjugated tensor, i.e. its conjugate bit is set to True. | get_default_dtype | Get the current default floating point torch.dtype. | 0.11841331422328949
is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | 0.4629562497138977
is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | set_default_dtype | Sets the default floating point dtype to d. | 0.4554261267185211
is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | get_default_dtype | Get the current default floating point torch.dtype. | 0.3894752860069275
is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.2916613221168518
is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | numel | Returns the total number of elements in the input tensor. | 0.27931156754493713
is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | 0.2375594973564148
is_floating_point | Returns True if the data type of input is a floating point data type i.e., one of torch.float64, torch.float32, torch.float16, and torch.bfloat16. | set_printoptions | Set options for printing. | 0.08930191397666931
is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | numel | Returns the total number of elements in the input tensor. | 0.6318638324737549
is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | 0.48246610164642334
is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | set_default_dtype | Sets the default floating point dtype to d. | 0.3038240075111389
is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.2629646360874176
is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | get_default_dtype | Get the current default floating point torch.dtype. | 0.18700671195983887
is_nonzero | Returns True if the input is a single element tensor which is not equal to zero after type conversions. | set_printoptions | Set options for printing. | 0.06532436609268188
set_default_dtype | Sets the default floating point dtype to d. | get_default_dtype | Get the current default floating point torch.dtype. | 0.7376652359962463
set_default_dtype | Sets the default floating point dtype to d. | set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | 0.603486955165863
set_default_dtype | Sets the default floating point dtype to d. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.4619883596897125
set_default_dtype | Sets the default floating point dtype to d. | set_printoptions | Set options for printing. | 0.3046087920665741
set_default_dtype | Sets the default floating point dtype to d. | numel | Returns the total number of elements in the input tensor. | 0.14454171061515808
get_default_dtype | Get the current default floating point torch.dtype. | set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | 0.5176774263381958
get_default_dtype | Get the current default floating point torch.dtype. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.4557536244392395
get_default_dtype | Get the current default floating point torch.dtype. | set_printoptions | Set options for printing. | 0.23039031028747559
get_default_dtype | Get the current default floating point torch.dtype. | numel | Returns the total number of elements in the input tensor. | 0.06413419544696808
set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.3576167821884155
set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | numel | Returns the total number of elements in the input tensor. | 0.31829148530960083
set_default_tensor_type | Sets the default torch.Tensor type to floating point tensor type t. | set_printoptions | Set options for printing. | 0.1984943300485611
numel | Returns the total number of elements in the input tensor. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.24140486121177673
numel | Returns the total number of elements in the input tensor. | set_printoptions | Set options for printing. | 0.0826796218752861
set_printoptions | Set options for printing. | set_flush_denormal | Disables denormal floating numbers on CPU. | 0.12909474968910217

API-function: torch-creation-ops
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | 0.7690709233283997
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | empty | Returns a tensor filled with uninitialized data. | 0.5067415833473206
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | from_numpy | Creates a Tensor from a numpy.ndarray. | 0.5001329183578491
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | empty_strided | Creates a tensor with the specified size and stride and filled with undefined data. | 0.43301182985305786
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | asarray | Converts obj to a tensor. | 0.4190008342266083
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | empty_like | Returns an uninitialized tensor with the same size as input. | 0.39702272415161133
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | from_dlpack | Converts a tensor from an external library into a torch.Tensor. | 0.39119091629981995
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | full | Creates a tensor of size size filled with fill_value. | 0.3496391177177429
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | frombuffer | Creates a 1-dimensional Tensor from an object that implements the Python buffer protocol. | 0.344948410987854
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | 0.3187485337257385
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | arange | Returns a 1-D tensor of size ⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉ with values from the interval [start, end) taken with common difference step beginning from start. | 0.3173447549343109
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | complex | Constructs a complex tensor with its real part equal to real and its imaginary part equal to imag. | 0.31555575132369995
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | range | Returns a 1-D tensor of size ⌊end−startstep⌋+1\left\lfloor \frac{\text{end} - \text{start}}{\text{step}} \right\rfloor + 1⌊stepend−start​⌋+1 with values from start to end with step step. | 0.31438469886779785
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | polar | Constructs a complex tensor whose elements are Cartesian coordinates corresponding to the polar coordinates with absolute value abs and angle angle. | 0.3136156499385834
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | full_like | Returns a tensor with the same size as input filled with fill_value. | 0.30138978362083435
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | dequantize | Returns an fp32 Tensor by dequantizing a quantized Tensor | 0.3011375069618225
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | zeros_like | Returns a tensor filled with the scalar value 0, with the same size as input. | 0.2841835618019104
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | ones_like | Returns a tensor filled with the scalar value 1, with the same size as input. | 0.2841835618019104
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | linspace | Creates a one-dimensional tensor of size steps whose values are evenly spaced from start to end, inclusive. | 0.2804728150367737
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | quantize_per_tensor | Converts a float tensor to a quantized tensor with given scale and zero point. | 0.2708611488342285
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | eye | Returns a 2-D tensor with ones on the diagonal and zeros elsewhere. | 0.26771050691604614
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | zeros | Returns a tensor filled with the scalar value 0, with the shape defined by the variable argument size. | 0.25823795795440674
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | ones | Returns a tensor filled with the scalar value 1, with the shape defined by the variable argument size. | 0.25823795795440674
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | logspace | Creates a one-dimensional tensor of size steps whose values are evenly spaced from basestart{{\text{{base}}}}^{{\text{{start}}}}basestart to baseend{{\text{{base}}}}^{{\text{{end}}}}baseend, inclusive, on a logarithmic scale with base base. | 0.25319576263427734
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | quantize_per_channel | Converts a float tensor to a per-channel quantized tensor with given scales and zero points. | 0.25079816579818726
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | as_strided | Create a view of an existing torch.Tensor input with specified size, stride and storage_offset. | 0.2343689501285553
tensor | Constructs a tensor with no autograd history (also known as a "leaf tensor", see Autograd mechanics) by copying data. | heaviside | Computes the Heaviside step function for each element in input. | 0.09762111306190491
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | from_numpy | Creates a Tensor from a numpy.ndarray. | 0.6417667865753174
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | zeros_like | Returns a tensor filled with the scalar value 0, with the same size as input. | 0.5649163722991943
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | ones_like | Returns a tensor filled with the scalar value 1, with the same size as input. | 0.5649163722991943
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | eye | Returns a 2-D tensor with ones on the diagonal and zeros elsewhere. | 0.5537643432617188
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | full | Creates a tensor of size size filled with fill_value. | 0.5466295480728149
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | full_like | Returns a tensor with the same size as input filled with fill_value. | 0.5276926159858704
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | empty_like | Returns an uninitialized tensor with the same size as input. | 0.526927649974823
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | ones | Returns a tensor filled with the scalar value 1, with the shape defined by the variable argument size. | 0.5117969512939453
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | zeros | Returns a tensor filled with the scalar value 0, with the shape defined by the variable argument size. | 0.5117969512939453
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | quantize_per_tensor | Converts a float tensor to a quantized tensor with given scale and zero point. | 0.4802739918231964
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | arange | Returns a 1-D tensor of size ⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉ with values from the interval [start, end) taken with common difference step beginning from start. | 0.4786040782928467
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | empty | Returns a tensor filled with uninitialized data. | 0.4725770950317383
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | dequantize | Returns an fp32 Tensor by dequantizing a quantized Tensor | 0.4709877073764801
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | empty_strided | Creates a tensor with the specified size and stride and filled with undefined data. | 0.4607892632484436
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | linspace | Creates a one-dimensional tensor of size steps whose values are evenly spaced from start to end, inclusive. | 0.45436733961105347
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | logspace | Creates a one-dimensional tensor of size steps whose values are evenly spaced from basestart{{\text{{base}}}}^{{\text{{start}}}}basestart to baseend{{\text{{base}}}}^{{\text{{end}}}}baseend, inclusive, on a logarithmic scale with base base. | 0.45129069685935974
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | range | Returns a 1-D tensor of size ⌊end−startstep⌋+1\left\lfloor \frac{\text{end} - \text{start}}{\text{step}} \right\rfloor + 1⌊stepend−start​⌋+1 with values from start to end with step step. | 0.4481526017189026
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | asarray | Converts obj to a tensor. | 0.44406411051750183
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | quantize_per_channel | Converts a float tensor to a per-channel quantized tensor with given scales and zero points. | 0.4436852037906647
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | as_strided | Create a view of an existing torch.Tensor input with specified size, stride and storage_offset. | 0.38792186975479126
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | complex | Constructs a complex tensor with its real part equal to real and its imaginary part equal to imag. | 0.3628683388233185
