error_type,log_path,error_path,error_message,error_code,error_line
ValueError,/log/lenet/log1690791230/error3,/result/lenet/mutate1690791230/3_4.py,"raise ValueError( ValueError: Input 0 of layer ""simple_rnn"" is incompatible with the layer: expected ndim=3, found ndim=2. Full shape received: (None, 6)","x = keras.layers.SimpleRNN(activation=""relu"", units=983, use_bias=True)(x)",13
SyntaxError,/log/lenet/log1690791230/error4,/result/lenet/mutate1690791230/3_4.py,SyntaxError: invalid syntax,"x = keras.layers.SimpleRNN(activation=""relu"", units=983, use_bias=True)(x)",13
ValueError,/log/lenet/log1690791230/error10,/result/lenet/mutate1690791230/6_2.py,"raise ValueError(e.message) ValueError: Exception encountered when calling layer ""max_pooling2d_28"" (type MaxPooling2D).  Negative dimension size caused by subtracting 2 from 1 for '{{node max_pooling2d_28/MaxPool}} = MaxPool[T=DT_FLOAT, data_format=""NHWC"", explicit_paddings=[], ksize=[1, 2, 2, 1], padding=""VALID"", strides=[1, 1, 3, 1]](Placeholder)' with input shapes: [?,12,1,32].  Call arguments received by layer ""max_pooling2d_28"" (type MaxPooling2D): • inputs=tf.Tensor(shape=(None, 12, 1, 32), dtype=float32)","x = keras.layers.MaxPool2D(pool_size=2, strides=(1, 3))(x)",16
ValueError,/log/lenet/log1690791230/error17,/result/lenet/mutate1690791230/8_3.py,"raise ValueError( ValueError: Input 0 of layer ""depthwise_conv1d"" is incompatible with the layer: expected min_ndim=3, found ndim=2. Full shape received: (None, 384)","x = keras.layers.DepthwiseConv1D(activation=""relu"", kernel_size=[112])(x)",18
ValueError,/log/lenet/log1690791230/error16,/result/lenet/mutate1690791230/8_1.py,"raise ValueError( ValueError: Input 0 of layer ""conv3d_transpose"" is incompatible with the layer: expected min_ndim=5, found ndim=2. Full shape received: (None, 384)","x = keras.layers.Conv3DTranspose(activation=""relu"", filters=1465, kernel_size=(47,19,100), dilation_rate=5)(x)",18
ValueError,/log/lenet/log1690791230/error11,/result/lenet/mutate1690791230/6_3.py,"raise ValueError(e.message) ValueError: Exception encountered when calling layer ""max_pooling2d_30"" (type MaxPooling2D).  Negative dimension size caused by subtracting 4 from 1 for '{{node max_pooling2d_30/MaxPool}} = MaxPool[T=DT_FLOAT, data_format=""NHWC"", explicit_paddings=[], ksize=[1, 6, 4, 1], padding=""VALID"", strides=[1, 2, 2, 1]](Placeholder)' with input shapes: [?,12,1,32].  Call arguments received by layer ""max_pooling2d_30"" (type MaxPooling2D): • inputs=tf.Tensor(shape=(None, 12, 1, 32), dtype=float32)","x = keras.layers.MaxPool2D(pool_size=(6, 4), strides=2)(x)",16
ValueError,/log/lenet/log1690791230/error5,/result/lenet/mutate1690791230/4_4.py,"ValueError: Exception encountered when calling layer ""depthwise_conv2d_4"" (type DepthwiseConv2D).  Negative dimension size caused by subtracting 34 from 22 for '{{node depthwise_conv2d_4/depthwise}} = DepthwiseConv2dNative[T=DT_FLOAT, data_format=""NHWC"", dilations=[1, 1, 1, 1], explicit_paddings=[], padding=""VALID"", strides=[1, 2, 2, 1]](Placeholder, depthwise_conv2d_4/depthwise/ReadVariableOp)' with input shapes: [?,22,15,1], [34,55,1,1].  Call arguments received by layer ""depthwise_conv2d_4"" (type DepthwiseConv2D): • inputs=tf.Tensor(shape=(None, 22, 15, 1), dtype=float32)","x = keras.layers.DepthwiseConv2D(strides=2, kernel_size=[34, 55])(x)",14
ValueError,/log/lenet/log1690791230/error2,/result/lenet/mutate1690791230/3_3.py,"raise ValueError( ValueError: Exception encountered when calling layer ""additive_attention"" (type AdditiveAttention).  AdditiveAttention layer must be called on a list of inputs, namely [query, value] or [query, value, key]. Received: Tensor(""Placeholder:0"", shape=(None, 6), dtype=float32).  Call arguments received by layer ""additive_attention"" (type AdditiveAttention): • inputs=tf.Tensor(shape=(None, 6), dtype=float32) • mask=None • training=None • return_attention_scores=False • use_causal_mask=False",x = keras.layers.AdditiveAttention(use_scale=True)(x),13
ValueError,/log/lenet/log1690791230/error7,/result/lenet/mutate1690791230/5_7.py,"raise ValueError( ValueError: Input 0 of layer ""conv2d_17"" is incompatible with the layer: expected min_ndim=4, found ndim=2. Full shape received: (None, 2688)","x = keras.layers.Conv2D(filters=32, kernel_size=5, activation=""relu"", padding=""same"", dilation_rate=(3, 4))(x)",15
ValueError,/log/lenet/log1690791230/error9,/result/lenet/mutate1690791230/6_1.py,"raise ValueError(e.message) ValueError: Exception encountered when calling layer ""max_pooling2d_26"" (type MaxPooling2D).  Negative dimension size caused by subtracting 2 from 1 for '{{node max_pooling2d_26/MaxPool}} = MaxPool[T=DT_FLOAT, data_format=""NHWC"", explicit_paddings=[], ksize=[1, 2, 2, 1], padding=""VALID"", strides=[1, 2, 2, 1]](Placeholder)' with input shapes: [?,12,1,32].  Call arguments received by layer ""max_pooling2d_26"" (type MaxPooling2D): • inputs=tf.Tensor(shape=(None, 12, 1, 32), dtype=float32)","x = keras.layers.MaxPool2D(pool_size=2, strides=2, padding=""valid"")(x)",16
